month,stateCode,incidentType,break_Frequency
10,VT,Flood,1
6,VT,Flood,0
9,NH,Flood,0
12,PA,Flood,5
8,RI,Hurricane,0
8,NY,Hurricane,11
9,MA,Hurricane,0
9,ME,Hurricane,2
9,ME,Flood,2
9,ME,Flood,2
8,NJ,Severe Storm,4
7,NY,Severe Storm,9
7,VT,Flood,0
7,VT,Flood,0
7,ME,Flood,2
4,RI,Fire,0
3,ME,Severe Storm,4
3,VT,Severe Storm,1
3,NY,Snowstorm,2
3,NH,Severe Storm,0
12,NY,Winter Storm,4
11,NY,Winter Storm,8
5,RI,Snowstorm,0
4,MA,Snowstorm,1
3,ME,Coastal Storm,4
10,CT,Hurricane,4
10,NY,Hurricane,4
10,NH,Flood,0
9,NH,Severe Storm,0
9,VT,Flood,0
9,PA,Hurricane,1
9,NY,Hurricane,0
9,NJ,Hurricane,1
9,NJ,Hurricane,1
9,NY,Hurricane,0
8,VT,Hurricane,0
8,MA,Hurricane,3
8,CT,Hurricane,4
4,NJ,Snowstorm,0
1,CT,Hurricane,2
12,NJ,Hurricane,1
10,NY,Hurricane,4
8,CT,Hurricane,4
4,VT,Biological,0
4,ME,Biological,3
4,NH,Biological,0
3,PA,Biological,2
3,RI,Biological,0
3,CT,Biological,5
3,MA,Biological,0
3,NJ,Biological,3
3,NY,Biological,2
3,NY,Biological,2
3,RI,Biological,0
3,NY,Biological,2
3,ME,Biological,4
3,MA,Biological,0
3,MA,Biological,0
3,NJ,Biological,3
3,NH,Biological,0
3,ME,Biological,4
3,PA,Biological,2
3,RI,Biological,0
3,CT,Biological,5
3,MA,Biological,0
3,VT,Biological,1
3,NY,Biological,2
1,VT,Severe Storm,0
12,NY,Severe Storm,4
8,NH,Severe Storm,0
6,VT,Flood,0
12,CT,Severe Storm,3
11,PA,Severe Storm,1
10,NY,Flood,4
8,CT,Tornado,4
7,VT,Severe Storm,0
7,MA,Snowstorm,1
6,MA,Severe Storm,0
6,NH,Snowstorm,0
6,NH,Coastal Storm,0
6,NJ,Severe Storm,3
5,ME,Coastal Storm,1
1,VT,Severe Storm,0
1,NH,Severe Storm,5
1,ME,Severe Storm,3
11,NY,Flood,8
8,VT,Severe Storm,0
8,NH,Severe Storm,0
7,NY,Snowstorm,9
6,NH,Severe Storm,0
4,NH,Fire,0
3,PA,Snowstorm,2
3,NJ,Severe Storm,3
7,VT,Severe Storm,0
7,NJ,Severe Storm,1
4,MA,Severe Storm,1
4,CT,Severe Storm,2
4,RI,Severe Storm,0
3,NH,Severe Storm,0
3,ME,Snowstorm,4
2,VT,Severe Storm,0
12,NY,Snowstorm,4
7,NY,Severe Storm,9
6,VT,Flood,0
2,PA,Severe Ice Storm,5
1,VT,Severe Ice Storm,0
10,PA,Severe Storm,3
8,NH,Severe Storm,0
8,VT,Flood,0
7,NY,Flood,9
4,NY,Severe Storm,4
4,MA,Severe Storm,1
4,MA,Terrorist,1
3,ME,Severe Storm,4
3,RI,Severe Storm,0
3,CT,Severe Storm,5
3,NH,Severe Storm,0
2,CT,Severe Storm,2
