-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 03/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN
37.75,-75.75,2022,1,1,2.45
37.75,-75.25,2022,1,1,2.45
37.75,-74.75,2022,1,1,2.46
37.75,-74.25,2022,1,1,2.46
37.75,-73.75,2022,1,1,2.52
37.75,-73.25,2022,1,1,2.52
37.75,-72.75,2022,1,1,2.52
37.75,-72.25,2022,1,1,2.52
37.75,-71.75,2022,1,1,2.55
37.75,-71.25,2022,1,1,2.55
37.75,-70.75,2022,1,1,2.56
37.75,-70.25,2022,1,1,2.56
37.75,-69.75,2022,1,1,2.63
37.75,-69.25,2022,1,1,2.63
37.75,-68.75,2022,1,1,2.65
37.75,-68.25,2022,1,1,2.65
37.75,-67.75,2022,1,1,2.72
37.75,-67.25,2022,1,1,2.72
37.75,-66.75,2022,1,1,2.79
37.75,-66.25,2022,1,1,2.79
38.25,-75.75,2022,1,1,2.31
38.25,-75.25,2022,1,1,2.31
38.25,-74.75,2022,1,1,2.3
38.25,-74.25,2022,1,1,2.3
38.25,-73.75,2022,1,1,2.37
38.25,-73.25,2022,1,1,2.37
38.25,-72.75,2022,1,1,2.37
38.25,-72.25,2022,1,1,2.37
38.25,-71.75,2022,1,1,2.41
38.25,-71.25,2022,1,1,2.41
38.25,-70.75,2022,1,1,2.42
38.25,-70.25,2022,1,1,2.42
38.25,-69.75,2022,1,1,2.44
38.25,-69.25,2022,1,1,2.44
38.25,-68.75,2022,1,1,2.46
38.25,-68.25,2022,1,1,2.46
38.25,-67.75,2022,1,1,2.53
38.25,-67.25,2022,1,1,2.53
38.25,-66.75,2022,1,1,2.6
38.25,-66.25,2022,1,1,2.6
38.75,-75.75,2022,1,1,2.31
38.75,-75.25,2022,1,1,2.31
38.75,-74.75,2022,1,1,2.3
38.75,-74.25,2022,1,1,2.3
38.75,-73.75,2022,1,1,2.37
38.75,-73.25,2022,1,1,2.37
38.75,-72.75,2022,1,1,2.37
38.75,-72.25,2022,1,1,2.37
38.75,-71.75,2022,1,1,2.41
38.75,-71.25,2022,1,1,2.41
