time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-11-30T20:12:17.846Z,47.5536,-70.2725,15.474,2.5,ml,5,176,0.036,0.21,us,us7000lezz,2023-12-02T05:43:36.040Z,"14 km SW of La Malbaie, Canada",earthquake,4.97,2.152,0.256,2,reviewed,us,us
2023-11-13T03:45:57.657Z,41.3646,-67.4129,10,2.6,mb_lg,19,247,2.63,0.56,us,us6000lnc1,2023-11-27T03:55:28.040Z,"213 km E of Siasconset, Massachusetts",earthquake,11.42,2.022,0.193,7,reviewed,us,us
2023-11-02T12:14:56.465Z,46.6045,-74.2513,10.2,2.5,ml,11,110,0.439,0.35,us,us7000l8th,2023-11-04T05:48:31.040Z,"26 km WSW of Saint-Michel-des-Saints, Canada",earthquake,3.52,8.456,0.081,20,reviewed,us,us
2023-09-24T23:59:29.388Z,45.7301,-73.4849,5.178,2.7,mb_lg,32,82,0.249,0.58,us,us7000kxw7,2023-10-30T20:23:00.846Z,"1 km N of Charlemagne, Canada",earthquake,5.2,7.726,0.117,19,reviewed,us,us
2023-08-11T03:33:28.128Z,47.5714,-70.1402,19.821,2.6,mb_lg,14,156,0.128,0.47,us,us6000kz6s,2023-10-17T22:01:30.040Z,"St. Lawrence Valley region, Quebec, Canada",earthquake,3.49,3.95,0.142,13,reviewed,us,us
2023-08-08T22:04:21.806Z,44.3159,-70.2573,9.435,2.5,mb_lg,20,126,0.353,0.38,us,us6000kyr7,2023-10-17T22:01:28.040Z,"6 km N of Turner, Maine",earthquake,2.46,6.846,0.208,6,reviewed,us,us
2023-07-08T23:15:37.190Z,46.5956,-76.1192,10,2.8,mb_lg,17,100,1.149,0.39,us,us6000kr0w,2023-09-09T21:55:02.040Z,"14 km NW of Saint-Boniface, Canada",earthquake,1.97,2,0.057,80,reviewed,us,us
2023-07-04T03:54:16.030Z,46.1633,-75.5683,13.668,2.6,mb_lg,17,92,0.709,0.32,us,us6000kpze,2023-09-09T21:54:44.040Z,"35 km ESE of Saint-Raphaël, Canada",earthquake,3.62,12.395,0.084,38,reviewed,us,us
2023-04-25T13:49:07.191Z,43.7796,-71.4803,8.286,2.9,mb_lg,23,98,0.141,0.2,us,us7000jvs7,2023-07-11T01:44:36.040Z,"4 km SW of Center Sandwich, New Hampshire",earthquake,1.24,3.039,0.071,52,reviewed,us,us
2023-04-24T22:16:17.744Z,47.1382,-76.1399,9.813,3.4,mb_lg,25,119,1.43,0.39,us,us7000jvnf,2023-07-11T01:44:39.040Z,"",earthquake,4.43,7.379,0.059,77,reviewed,us,us
2023-04-23T18:10:08.198Z,43.8635,-76.0202,8.68,3.6,mwr,63,38,0.454,0.5,us,us6000k6kx,2023-08-29T21:47:45.955Z,"New York",earthquake,2.55,4.258,0.046,45,reviewed,us,us
