geometry,state,Majority_TYPE
"POLYGON ((-75.5 39, -75 39, -75 39.5, -75.5 39.5, -75.5 39))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 39, -74.5 39, -74.5 39.5, -75 39.5, -75 39))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-80.5 39.5, -80 39.5, -80 40, -80.5 40, -80.5 39.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
"POLYGON ((-80 39.5, -79.5 39.5, -79.5 40, -80 40, -80 39.5))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-79.5 39.5, -79 39.5, -79 40, -79.5 40, -79.5 39.5))",PA,ONSHORE WIND TURBINE
"POLYGON ((-79 39.5, -78.5 39.5, -78.5 40, -79 40, -79 39.5))",PA,ONSHORE WIND TURBINE
"POLYGON ((-78.5 39.5, -78 39.5, -78 40, -78.5 40, -78.5 39.5))",PA,
"POLYGON ((-78 39.5, -77.5 39.5, -77.5 40, -78 40, -78 39.5))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-77.5 39.5, -77 39.5, -77 40, -77.5 40, -77.5 39.5))",PA,PETROLEUM LIQUIDS
"POLYGON ((-77 39.5, -76.5 39.5, -76.5 40, -77 40, -77 39.5))",PA,PETROLEUM LIQUIDS
"POLYGON ((-76.5 39.5, -76 39.5, -76 40, -76.5 40, -76.5 39.5))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-75.5 39.5, -75 39.5, -75 40, -75.5 40, -75.5 39.5))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 39.5, -74.5 39.5, -74.5 40, -75 40, -75 39.5))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-74.5 39.5, -74 39.5, -74 40, -74.5 40, -74.5 39.5))",NJ,PETROLEUM LIQUIDS
"POLYGON ((-80.5 40, -80 40, -80 40.5, -80.5 40.5, -80.5 40))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
"POLYGON ((-80 40, -79.5 40, -79.5 40.5, -80 40.5, -80 40))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-79.5 40, -79 40, -79 40.5, -79.5 40.5, -79.5 40))",PA,CONVENTIONAL STEAM COAL; PETROLEUM LIQUIDS
"POLYGON ((-79 40, -78.5 40, -78.5 40.5, -79 40.5, -79 40))",PA,ONSHORE WIND TURBINE
"POLYGON ((-78.5 40, -78 40, -78 40.5, -78.5 40.5, -78.5 40))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-78 40, -77.5 40, -77.5 40.5, -78 40.5, -78 40))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-77.5 40, -77 40, -77 40.5, -77.5 40.5, -77.5 40))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-77 40, -76.5 40, -76.5 40.5, -77 40.5, -77 40))",PA,MUNICIPAL SOLID WASTE
"POLYGON ((-76.5 40, -76 40, -76 40.5, -76.5 40.5, -76.5 40))",PA,LANDFILL GAS
"POLYGON ((-76 40, -75.5 40, -75.5 40.5, -76 40.5, -76 40))",PA,LANDFILL GAS
"POLYGON ((-75.5 40, -75 40, -75 40.5, -75.5 40.5, -75.5 40))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 40, -74.5 40, -74.5 40.5, -75 40.5, -75 40))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-74.5 40, -74 40, -74 40.5, -74.5 40.5, -74.5 40))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-80.5 40.5, -80 40.5, -80 41, -80.5 41, -80.5 40.5))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-80 40.5, -79.5 40.5, -79.5 41, -80 41, -80 40.5))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-79.5 40.5, -79 40.5, -79 41, -79.5 41, -79.5 40.5))",PA,CONVENTIONAL STEAM COAL
"POLYGON ((-79 40.5, -78.5 40.5, -78.5 41, -79 41, -79 40.5))",PA,ONSHORE WIND TURBINE
"POLYGON ((-78.5 40.5, -78 40.5, -78 41, -78.5 41, -78.5 40.5))",PA,ONSHORE WIND TURBINE
"POLYGON ((-78 40.5, -77.5 40.5, -77.5 41, -78 41, -78 40.5))",PA,CONVENTIONAL STEAM COAL; NATURAL GAS STEAM TURBINE
"POLYGON ((-77.5 40.5, -77 40.5, -77 41, -77.5 41, -77.5 40.5))",PA,
"POLYGON ((-77 40.5, -76.5 40.5, -76.5 41, -77 41, -77 40.5))",PA,NATURAL GAS FIRED COMBINED CYCLE
"POLYGON ((-76.5 40.5, -76 40.5, -76 41, -76.5 41, -76.5 40.5))",PA,CONVENTIONAL STEAM COAL
"POLYGON ((-76 40.5, -75.5 40.5, -75.5 41, -76 41, -76 40.5))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-75.5 40.5, -75 40.5, -75 41, -75.5 41, -75.5 40.5))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 40.5, -74.5 40.5, -74.5 41, -75 41, -75 40.5))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-74.5 40.5, -74 40.5, -74 41, -74.5 41, -74.5 40.5))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-74 40.5, -73.5 40.5, -73.5 41, -74 41, -74 40.5))",NY,PETROLEUM LIQUIDS
"POLYGON ((-73.5 40.5, -73 40.5, -73 41, -73.5 41, -73.5 40.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-73 40.5, -72.5 40.5, -72.5 41, -73 41, -73 40.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-80.5 41, -80 41, -80 41.5, -80.5 41.5, -80.5 41))",PA,PETROLEUM LIQUIDS
"POLYGON ((-80 41, -79.5 41, -79.5 41.5, -80 41.5, -80 41))",PA,CONVENTIONAL STEAM COAL
"POLYGON ((-79.5 41, -79 41, -79 41.5, -79.5 41.5, -79.5 41))",PA,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-79 41, -78.5 41, -78.5 41.5, -79 41.5, -79 41))",PA,WOOD/WOOD WASTE BIOMASS
"POLYGON ((-78.5 41, -78 41, -78 41.5, -78.5 41.5, -78.5 41))",PA,NATURAL GAS STEAM TURBINE; PETROLEUM LIQUIDS
"POLYGON ((-78 41, -77.5 41, -77.5 41.5, -78 41.5, -78 41))",PA,NATURAL GAS FIRED COMBINED CYCLE
"POLYGON ((-77.5 41, -77 41, -77 41.5, -77.5 41.5, -77.5 41))",PA,PETROLEUM LIQUIDS
"POLYGON ((-77 41, -76.5 41, -76.5 41.5, -77 41.5, -77 41))",PA,LANDFILL GAS
"POLYGON ((-76.5 41, -76 41, -76 41.5, -76.5 41.5, -76.5 41))",PA,NATURAL GAS FIRED COMBINED CYCLE
"POLYGON ((-76 41, -75.5 41, -75.5 41.5, -76 41.5, -76 41))",PA,LANDFILL GAS
"POLYGON ((-75.5 41, -75 41, -75 41.5, -75.5 41.5, -75.5 41))",PA,PETROLEUM LIQUIDS
"POLYGON ((-75 41, -74.5 41, -74.5 41.5, -75 41.5, -75 41))",NJ,SOLAR PHOTOVOLTAIC
"POLYGON ((-74.5 41, -74 41, -74 41.5, -74.5 41.5, -74.5 41))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74 41, -73.5 41, -73.5 41.5, -74 41.5, -74 41))",NY,PETROLEUM LIQUIDS
"POLYGON ((-73.5 41, -73 41, -73 41.5, -73.5 41.5, -73.5 41))",CT,OTHER NATURAL GAS
"POLYGON ((-73 41, -72.5 41, -72.5 41.5, -73 41.5, -73 41))",CT,SOLAR PHOTOVOLTAIC
"POLYGON ((-72.5 41, -72 41, -72 41.5, -72.5 41.5, -72.5 41))",CT,PETROLEUM LIQUIDS
"POLYGON ((-72 41, -71.5 41, -71.5 41.5, -72 41.5, -72 41))",CT,SOLAR PHOTOVOLTAIC
"POLYGON ((-71 41, -70.5 41, -70.5 41.5, -71 41.5, -71 41))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-70.5 41, -70 41, -70 41.5, -70.5 41.5, -70.5 41))",MA,PETROLEUM LIQUIDS
"POLYGON ((-80.5 41.5, -80 41.5, -80 42, -80.5 42, -80.5 41.5))",PA,PETROLEUM LIQUIDS
"POLYGON ((-80 41.5, -79.5 41.5, -79.5 42, -80 42, -80 41.5))",PA,
"POLYGON ((-79.5 41.5, -79 41.5, -79 42, -79.5 42, -79.5 41.5))",PA,CONVENTIONAL STEAM COAL; PETROLEUM LIQUIDS
"POLYGON ((-79 41.5, -78.5 41.5, -78.5 42, -79 42, -79 41.5))",PA,
"POLYGON ((-78.5 41.5, -78 41.5, -78 42, -78.5 42, -78.5 41.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
"POLYGON ((-78 41.5, -77.5 41.5, -77.5 42, -78 42, -78 41.5))",PA,ONSHORE WIND TURBINE
"POLYGON ((-77.5 41.5, -77 41.5, -77 42, -77.5 42, -77.5 41.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
