geometry,state,Majority_TYPE,earthquake_count
"POLYGON ((-75.5 39, -75 39, -75 39.5, -75.5 39.5, -75.5 39))",NJ,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-75 39, -74.5 39, -74.5 39.5, -75 39.5, -75 39))",NJ,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-80.5 39.5, -80 39.5, -80 40, -80.5 40, -80.5 39.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE,0
"POLYGON ((-80 39.5, -79.5 39.5, -79.5 40, -80 40, -80 39.5))",PA,CONVENTIONAL HYDROELECTRIC,0
"POLYGON ((-79.5 39.5, -79 39.5, -79 40, -79.5 40, -79.5 39.5))",PA,ONSHORE WIND TURBINE,0
"POLYGON ((-79 39.5, -78.5 39.5, -78.5 40, -79 40, -79 39.5))",PA,ONSHORE WIND TURBINE,0
"POLYGON ((-78.5 39.5, -78 39.5, -78 40, -78.5 40, -78.5 39.5))",PA,,0
"POLYGON ((-78 39.5, -77.5 39.5, -77.5 40, -78 40, -78 39.5))",PA,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-77.5 39.5, -77 39.5, -77 40, -77.5 40, -77.5 39.5))",PA,PETROLEUM LIQUIDS,0
"POLYGON ((-77 39.5, -76.5 39.5, -76.5 40, -77 40, -77 39.5))",PA,PETROLEUM LIQUIDS,0
"POLYGON ((-76.5 39.5, -76 39.5, -76 40, -76.5 40, -76.5 39.5))",PA,CONVENTIONAL HYDROELECTRIC,0
"POLYGON ((-75.5 39.5, -75 39.5, -75 40, -75.5 40, -75.5 39.5))",NJ,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-75 39.5, -74.5 39.5, -74.5 40, -75 40, -75 39.5))",NJ,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-74.5 39.5, -74 39.5, -74 40, -74.5 40, -74.5 39.5))",NJ,PETROLEUM LIQUIDS,0
"POLYGON ((-80.5 40, -80 40, -80 40.5, -80.5 40.5, -80.5 40))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE,0
"POLYGON ((-80 40, -79.5 40, -79.5 40.5, -80 40.5, -80 40))",PA,CONVENTIONAL HYDROELECTRIC,0
"POLYGON ((-79.5 40, -79 40, -79 40.5, -79.5 40.5, -79.5 40))",PA,CONVENTIONAL STEAM COAL; PETROLEUM LIQUIDS,0
"POLYGON ((-79 40, -78.5 40, -78.5 40.5, -79 40.5, -79 40))",PA,ONSHORE WIND TURBINE,0
"POLYGON ((-78.5 40, -78 40, -78 40.5, -78.5 40.5, -78.5 40))",PA,CONVENTIONAL HYDROELECTRIC,0
"POLYGON ((-78 40, -77.5 40, -77.5 40.5, -78 40.5, -78 40))",PA,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-77.5 40, -77 40, -77 40.5, -77.5 40.5, -77.5 40))",PA,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-77 40, -76.5 40, -76.5 40.5, -77 40.5, -77 40))",PA,MUNICIPAL SOLID WASTE,0
"POLYGON ((-76.5 40, -76 40, -76 40.5, -76.5 40.5, -76.5 40))",PA,LANDFILL GAS,0
"POLYGON ((-76 40, -75.5 40, -75.5 40.5, -76 40.5, -76 40))",PA,LANDFILL GAS,0
"POLYGON ((-75.5 40, -75 40, -75 40.5, -75.5 40.5, -75.5 40))",PA,SOLAR PHOTOVOLTAIC,0
"POLYGON ((-75 40, -74.5 40, -74.5 40.5, -75 40.5, -75 40))",NJ,SOLAR PHOTOVOLTAIC,0
