-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOTCORR
41.25,-72.75,2021,1,1,6.76
41.25,-72.25,2021,1,1,6.02
41.25,-71.75,2021,1,1,4.76
41.25,-71.25,2021,1,1,3.38
41.25,-70.75,2021,1,1,2.23
41.25,-70.25,2021,1,1,1.55
41.25,-69.75,2021,1,1,1.05
41.25,-69.25,2021,1,1,0.58
41.25,-68.75,2021,1,1,0.14
41.25,-68.25,2021,1,1,0.07
41.25,-67.75,2021,1,1,0.03
41.25,-67.25,2021,1,1,0.03
41.25,-66.75,2021,1,1,0.05
41.25,-66.25,2021,1,1,0.06
41.25,-65.75,2021,1,1,0.1
41.25,-65.25,2021,1,1,0.16
41.75,-72.75,2021,1,1,4.56
41.75,-72.25,2021,1,1,4.22
41.75,-71.75,2021,1,1,3.6
41.75,-71.25,2021,1,1,2.96
41.75,-70.75,2021,1,1,2.09
41.75,-70.25,2021,1,1,1.53
41.75,-69.75,2021,1,1,1.02
41.75,-69.25,2021,1,1,0.52
41.75,-68.75,2021,1,1,0.24
41.75,-68.25,2021,1,1,0.1
41.75,-67.75,2021,1,1,0.02
41.75,-67.25,2021,1,1,0.0
41.75,-66.75,2021,1,1,0.01
41.75,-66.25,2021,1,1,0.01
41.75,-65.75,2021,1,1,0.03
41.75,-65.25,2021,1,1,0.05
42.25,-72.75,2021,1,1,4.22
42.25,-72.25,2021,1,1,3.7
42.25,-71.75,2021,1,1,2.99
42.25,-71.25,2021,1,1,2.21
42.25,-70.75,2021,1,1,1.65
42.25,-70.25,2021,1,1,1.18
42.25,-69.75,2021,1,1,0.77
42.25,-69.25,2021,1,1,0.46
42.25,-68.75,2021,1,1,0.32
42.25,-68.25,2021,1,1,0.1
42.25,-67.75,2021,1,1,0.02
42.25,-67.25,2021,1,1,0.0
42.25,-66.75,2021,1,1,0.0
42.25,-66.25,2021,1,1,0.0
42.25,-65.75,2021,1,1,0.0
42.25,-65.25,2021,1,1,0.01
42.75,-72.75,2021,1,1,3.87
42.75,-72.25,2021,1,1,3.33
42.75,-71.75,2021,1,1,2.56
42.75,-71.25,2021,1,1,1.9
42.75,-70.75,2021,1,1,1.27
42.75,-70.25,2021,1,1,0.84
42.75,-69.75,2021,1,1,0.54
42.75,-69.25,2021,1,1,0.34
42.75,-68.75,2021,1,1,0.19
42.75,-68.25,2021,1,1,0.07
42.75,-67.75,2021,1,1,0.01
42.75,-67.25,2021,1,1,0.0
42.75,-66.75,2021,1,1,0.0
42.75,-66.25,2021,1,1,0.0
42.75,-65.75,2021,1,1,0.0
42.75,-65.25,2021,1,1,0.0
43.25,-72.75,2021,1,1,2.63
43.25,-72.25,2021,1,1,2.31
43.25,-71.75,2021,1,1,1.82
43.25,-71.25,2021,1,1,1.31
43.25,-70.75,2021,1,1,0.77
43.25,-70.25,2021,1,1,0.49
43.25,-69.75,2021,1,1,0.3
43.25,-69.25,2021,1,1,0.16
43.25,-68.75,2021,1,1,0.08
43.25,-68.25,2021,1,1,0.03
43.25,-67.75,2021,1,1,0.01
43.25,-67.25,2021,1,1,0.0
43.25,-66.75,2021,1,1,0.0
43.25,-66.25,2021,1,1,0.0
43.25,-65.75,2021,1,1,0.0
43.25,-65.25,2021,1,1,0.0
43.75,-72.75,2021,1,1,1.54
43.75,-72.25,2021,1,1,1.42
43.75,-71.75,2021,1,1,1.22
43.75,-71.25,2021,1,1,0.91
43.75,-70.75,2021,1,1,0.52
43.75,-70.25,2021,1,1,0.31
43.75,-69.75,2021,1,1,0.18
43.75,-69.25,2021,1,1,0.08
43.75,-68.75,2021,1,1,0.04
43.75,-68.25,2021,1,1,0.01
43.75,-67.75,2021,1,1,0.0
43.75,-67.25,2021,1,1,0.0
43.75,-66.75,2021,1,1,0.01
43.75,-66.25,2021,1,1,0.02
43.75,-65.75,2021,1,1,0.01
43.75,-65.25,2021,1,1,0.0
44.25,-72.75,2021,1,1,0.96
44.25,-72.25,2021,1,1,0.89
44.25,-71.75,2021,1,1,0.77
44.25,-71.25,2021,1,1,0.67
44.25,-70.75,2021,1,1,0.38
44.25,-70.25,2021,1,1,0.24
44.25,-69.75,2021,1,1,0.14
44.25,-69.25,2021,1,1,0.05
44.25,-68.75,2021,1,1,0.02
44.25,-68.25,2021,1,1,0.02
44.25,-67.75,2021,1,1,0.02
44.25,-67.25,2021,1,1,0.06
44.25,-66.75,2021,1,1,0.11
44.25,-66.25,2021,1,1,0.15
44.25,-65.75,2021,1,1,0.18
44.25,-65.25,2021,1,1,0.09
44.75,-72.75,2021,1,1,0.44
44.75,-72.25,2021,1,1,0.4
44.75,-71.75,2021,1,1,0.35
44.75,-71.25,2021,1,1,0.3
44.75,-70.75,2021,1,1,0.19
44.75,-70.25,2021,1,1,0.14
44.75,-69.75,2021,1,1,0.08
44.75,-69.25,2021,1,1,0.03
44.75,-68.75,2021,1,1,0.01
44.75,-68.25,2021,1,1,0.13
44.75,-67.75,2021,1,1,0.64
44.75,-67.25,2021,1,1,1.0
44.75,-66.75,2021,1,1,0.98
44.75,-66.25,2021,1,1,0.61
44.75,-65.75,2021,1,1,0.41
44.75,-65.25,2021,1,1,0.16
45.25,-72.75,2021,1,1,0.23
45.25,-72.25,2021,1,1,0.13
45.25,-71.75,2021,1,1,0.1
45.25,-71.25,2021,1,1,0.1
