month,state,disaster,break_rate,precipitation
10,VT,Flood,0,2
6,VT,Flood,0,1
9,NH,Flood,0,3
12,PA,Flood,2,0
8,RI,Hurricane,0,2
8,NY,Hurricane,2,3
9,MA,Hurricane,0,3
9,ME,Hurricane,0,2
9,ME,Flood,0,2
9,ME,Flood,0,2
8,NJ,Severe Storm,2,3
7,NY,Severe Storm,2,3
7,VT,Flood,0,3
7,VT,Flood,0,3
7,ME,Flood,0,3
4,RI,Fire,0,2
3,ME,Severe Storm,2,0
3,VT,Severe Storm,0,0
3,NY,Snowstorm,0,0
3,NH,Severe Storm,0,0
12,NY,Winter Storm,2,1
11,NY,Winter Storm,2,1
5,RI,Snowstorm,0,0
4,MA,Snowstorm,0,2
3,ME,Coastal Storm,2,0
10,CT,Hurricane,2,3
10,NY,Hurricane,2,2
10,NH,Flood,0,2
9,NH,Severe Storm,0,3
9,VT,Flood,0,2
9,PA,Hurricane,0,2
9,NY,Hurricane,0,2
9,NJ,Hurricane,0,3
9,NJ,Hurricane,0,3
9,NY,Hurricane,0,2
8,VT,Hurricane,0,2
8,MA,Hurricane,1,1
8,CT,Hurricane,2,2
4,NJ,Snowstorm,0,3
1,CT,Hurricane,0,0
12,NJ,Hurricane,0,1
10,NY,Hurricane,2,2
8,CT,Hurricane,2,2
4,VT,Biological,0,2
4,ME,Biological,1,2
4,NH,Biological,0,2
3,PA,Biological,0,0
3,RI,Biological,0,1
3,CT,Biological,2,1
3,MA,Biological,0,1
3,NJ,Biological,1,1
3,NY,Biological,0,0
3,NY,Biological,0,0
3,RI,Biological,0,1
3,NY,Biological,0,0
3,ME,Biological,2,0
3,MA,Biological,0,1
3,MA,Biological,0,1
3,NJ,Biological,1,1
3,NH,Biological,0,0
3,ME,Biological,2,0
3,PA,Biological,0,0
3,RI,Biological,0,1
3,CT,Biological,2,1
3,MA,Biological,0,1
3,VT,Biological,0,0
3,NY,Biological,0,0
1,VT,Severe Storm,0,0
12,NY,Severe Storm,2,1
8,NH,Severe Storm,0,2
6,VT,Flood,0,1
12,CT,Severe Storm,1,2
11,PA,Severe Storm,0,0
10,NY,Flood,2,2
8,CT,Tornado,2,2
7,VT,Severe Storm,0,3
7,MA,Snowstorm,0,3
6,MA,Severe Storm,0,0
6,NH,Snowstorm,0,1
6,NH,Coastal Storm,0,1
6,NJ,Severe Storm,1,1
5,ME,Coastal Storm,0,0
1,VT,Severe Storm,0,0
1,NH,Severe Storm,2,0
1,ME,Severe Storm,1,1
11,NY,Flood,2,1
8,VT,Severe Storm,0,2
8,NH,Severe Storm,0,2
7,NY,Snowstorm,2,3
6,NH,Severe Storm,0,1
4,NH,Fire,0,2
3,PA,Snowstorm,0,0
3,NJ,Severe Storm,1,1
7,VT,Severe Storm,0,3
7,NJ,Severe Storm,0,3
4,MA,Severe Storm,0,2
4,CT,Severe Storm,0,2
4,RI,Severe Storm,0,2
3,NH,Severe Storm,0,0
3,ME,Snowstorm,2,0
2,VT,Severe Storm,0,0
12,NY,Snowstorm,2,1
7,NY,Severe Storm,2,3
6,VT,Flood,0,1
2,PA,Severe Ice Storm,2,0
1,VT,Severe Ice Storm,0,0
10,PA,Severe Storm,1,1
8,NH,Severe Storm,0,2
8,VT,Flood,0,2
7,NY,Flood,2,3
4,NY,Severe Storm,2,1
4,MA,Severe Storm,0,2
4,MA,Terrorist,0,2
3,ME,Severe Storm,2,0
3,RI,Severe Storm,0,1
3,CT,Severe Storm,2,1
3,NH,Severe Storm,0,0
2,CT,Severe Storm,0,1
1,PA,Hurricane,2,0
12,MA,Hurricane,1,3
11,NH,Hurricane,0,1
11,RI,Hurricane,0,1
10,CT,Hurricane,2,3
10,NJ,Hurricane,0,3
10,NY,Hurricane,2,2
10,NH,Hurricane,0,2
10,RI,Hurricane,0,3
10,PA,Hurricane,1,1
10,NJ,Hurricane,0,3
10,CT,Hurricane,2,3
10,MA,Hurricane,0,3
10,NY,Hurricane,2,2
7,NJ,Severe Storm,0,3
6,VT,Severe Storm,0,1
6,NH,Severe Storm,0,1
1,MA,Severe Storm,0,1
12,NH,Severe Storm,0,2
11,NJ,Severe Storm,0,1
11,CT,Severe Storm,0,1
11,VT,Severe Storm,0,1
11,NH,Severe Storm,0,1
11,MA,Severe Storm,0,0
10,CT,Severe Storm,2,3
10,NJ,Severe Storm,0,3
9,NJ,Severe Storm,0,3
9,ME,Hurricane,0,2
9,NY,Severe Storm,0,2
9,PA,Flood,0,2
9,NY,Severe Storm,0,2
9,PA,Flood,0,2
9,MA,Hurricane,0,3
9,RI,Hurricane,0,3
9,PA,Hurricane,0,2
9,NH,Hurricane,0,3
9,CT,Hurricane,0,3
9,VT,Hurricane,0,2
8,NJ,Hurricane,2,3
8,NY,Hurricane,2,3
